,title,rate_meta,rate_user,genre,director,year,studio,duration
176,Solaris (1972),93,7.9,Drama,Andrei Tarkovsky,1976,Magna,2 h 47 m
177,The Band Wagon,93,,Comedy,Vincente Minnelli,1953,Metro-Goldwyn-Mayer (MGM),1 h 52 m
178,Late Spring (1949),93,8.2,Drama,Yasujirô Ozu,1972,New Yorker Films,1 h 48 m
179,Ikiru,92,8.5,Drama,Akira Kurosawa,1956,Brandon Films,2 h 23 m
180,One More Time with Feeling,92,7.8,Documentary,Andrew Dominik,2016,Picturehouse Entertainment,1 h 53 m
181,The Wizard of Oz,92,8.4,Adventure,"Victor Fleming,",1939,Metro-Goldwyn-Mayer (MGM),1 h 42 m
182,Sugarcane,92,,Documentary,"Emily Kassie,",Disney+,,
183,Ride the High Country,92,,Drama,Sam Peckinpah,1962,Metro-Goldwyn-Mayer (MGM),1 h 34 m
184,The Diving Bell and the Butterfly,92,8.4,Biography,Julian Schnabel,2007,Miramax,1 h 52 m
185,Invasion of the Body Snatchers,92,7.9,Drama,Don Siegel,1956,Allied Artists Pictures,1 h 20 m
186,Close-Up,92,8.6,Biography,Abbas Kiarostami,1999,Facets Multimedia Distribution,1 h 38 m
187,The Class,92,7.9,Drama,Laurent Cantet,2008,Sony Pictures Classics,2 h 8 m
188,King Kong,92,7.7,Adventure,"Merian C. Cooper,",1933,RKO Radio Pictures,1 h 40 m
189,Platoon,92,8.3,Drama,Oliver Stone,1986,Orion Pictures,2 h
190,No Country for Old Men,92,8.5,Crime,"Ethan Coen,",2007,Miramax,2 h 2 m
191,Chinatown,92,8.6,Drama,Roman Polanski,1974,Paramount Pictures,2 h 10 m
192,35 Shots of Rum,92,6.9,Drama,Claire Denis,2009,The Cinema Guild,1 h 40 m
193,Apocalypse Now: Final Cut,92,7.9,Drama,Francis Ford Coppola,2019,United Artists,2 h 27 m
194,Umberto D (re-release),92,8.2,Drama,Vittorio De Sica,2002,Janus Films,1 h 29 m
195,Secrets & Lies,92,8.4,Comedy,Mike Leigh,1996,October Films,2 h 16 m
196,The Florida Project,92,7.4,Drama,Sean Baker,2017,A24,1 h 51 m
197,Timbuktu,92,7.3,Drama,Abderrahmane Sissako,2015,Cohen Media Group,1 h 36 m
198,Frenzy,92,7.5,Thriller,Alfred Hitchcock,1972,Universal Pictures,1 h 56 m
199,Days,92,,Drama,Ming-liang Tsai,2021,Grasshopper Film,2 h 7 m
200,Brief Encounter,92,7.6,Drama,David Lean,1946,Universal Pictures,1 h 26 m
201,Cool Hand Luke,92,8.4,Crime,Stuart Rosenberg,1967,Warner Bros./Seven Arts,2 h 7 m
202,Little Women,92,,Drama,George Cukor,1933,RKO Radio Pictures,1 h 55 m
203,The Act of Killing,92,8.3,Documentary,"Joshua Oppenheimer,",2013,Drafthouse Films,1 h 57 m
204,De Humani Corporis Fabrica,92,6.8,Documentary,"Lucien Castaing-Taylor,",2023,1 h 55 m,
205,Maborosi,92,7.9,Drama,Hirokazu Koreeda,1997,Milestone Film & Video,1 h 50 m
206,E.T. The Extra-Terrestrial,92,8.2,Adventure,Steven Spielberg,1982,Universal Pictures,1 h 55 m
